GSWA_sample_id,GSWA_geochron_id,analytical_spot_id,age_Ma,area,equivalent_diameter,perimeter,minor_axis_length,major_axis_length,solidity,convex_area,form_factor,roundness,compactness,aspect_ratio,minimum_Feret,maximum_Feret,U238_ppm,Th232_ppm,groupno,P2O5_pct,SiO2_pct,Zr_ppm,oscillatory_zonation,sector_zonation,homogenous_zonation
88411,88411.1,,1795,15622.2,141.03,486.03,112.86,177.69,0.98,15872.71,0.83,0.63,0.79,1.57,109.74,181.38,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,7022.09,94.56,390.08,52.27,174.58,0.98,7144.95,0.58,0.29,0.54,3.34,48,162.79,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,12252.37,124.9,428.92,107.63,145.71,0.98,12526.8,0.84,0.73,0.86,1.35,106.54,149.23,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,9887.73,112.2,382.35,97.35,130.33,0.98,10076.01,0.85,0.74,0.86,1.34,94.16,131.04,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,10891.35,117.76,452.6,76.9,183.81,0.97,11240.78,0.67,0.41,0.64,2.39,74.53,176.72,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,6331.21,89.78,364.69,50.83,162.13,0.98,6489.17,0.6,0.31,0.55,3.19,50.53,153.26,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,11708.28,122.1,445.56,88.17,170.44,0.98,11912.51,0.74,0.51,0.72,1.93,86.79,172.42,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,11571.06,121.38,458.14,78.25,190.8,0.97,11893.36,0.69,0.4,0.64,2.44,75.01,186.52,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,7818.28,99.77,386.18,64.57,157.33,0.97,8060.81,0.66,0.4,0.63,2.44,61.89,155.42,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,8596.92,104.62,404.17,65.52,169.99,0.97,8847.42,0.66,0.38,0.62,2.59,62.93,165.96,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,15180.23,139.03,489.86,105.26,186.17,0.97,15706.77,0.79,0.56,0.75,1.77,104.84,181.58,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,10419.06,115.18,423.89,83.26,163.9,0.96,10841.88,0.73,0.49,0.7,1.97,79.58,157.79,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,8655.96,104.98,374.72,80.07,139.58,0.97,8916.03,0.77,0.57,0.75,1.74,76.19,139.23,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,9533.52,110.17,406.33,73.52,167.62,0.98,9761.68,0.73,0.43,0.66,2.28,70.74,160.11,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,16646.56,145.59,527.45,112.85,194.16,0.97,17168.31,0.75,0.56,0.75,1.72,108.07,195.01,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,14337.77,135.11,467.43,106.07,173.91,0.99,14521.26,0.82,0.6,0.78,1.64,102.32,176.47,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,1.1,1795,8864.98,106.24,391.36,72.23,159.02,0.98,9088.35,0.73,0.45,0.67,2.2,68.46,156.23,150,94,I,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,16059.39,142.99,548.09,91.11,230.02,0.98,16402.44,0.67,0.39,0.62,2.52,87.7,225.2,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,2.1,1795,13246.4,129.87,475.82,88.23,194.14,0.98,13503.29,0.74,0.45,0.67,2.2,83.37,189.81,377,197,I,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,10827.52,117.41,434.41,84.64,165.12,0.96,11264.71,0.72,0.51,0.71,1.95,85.7,165.71,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,5.1,1795,15769,141.7,523.57,97.05,209.98,0.98,16029.07,0.72,0.46,0.67,2.16,93.47,210.99,206,137,I,0.168,66.718,160.9,1,0,0
88411,88411.1,3.1,1795,11773.7,122.44,517.42,65.52,231.78,0.96,12245.98,0.55,0.28,0.53,3.54,64.33,218.89,288,220,I,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,10462.14,115.42,402.13,86.69,154.89,0.98,10626.48,0.81,0.56,0.75,1.79,83.37,155.88,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,7985.82,100.84,403.32,60.16,173.97,0.97,8255.47,0.62,0.34,0.58,2.89,56.37,159.9,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,15157.89,138.92,518.34,92.52,211.84,0.98,15523.28,0.71,0.43,0.66,2.29,87.45,206.08,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,14690.39,136.76,580.45,73.68,256.59,0.96,15333.41,0.55,0.28,0.53,3.48,73.26,249.1,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,10281.84,114.42,413.66,82.65,161.17,0.98,10543.51,0.76,0.5,0.71,1.95,78.59,159.34,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,11551.91,121.28,430.35,90.95,163.82,0.98,11744.98,0.78,0.55,0.74,1.8,87.16,167.3,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,16442.33,144.69,521.04,102.9,205.24,0.98,16718.36,0.76,0.5,0.7,1.99,98.58,201.02,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,7542.25,98,377.8,61.2,160.45,0.97,7795.94,0.66,0.37,0.61,2.62,59.18,154.01,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,12478.94,126.05,461.84,84.49,191.27,0.99,12643.28,0.74,0.43,0.66,2.26,78.32,187.23,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,14987.17,138.14,525.18,89.7,217.39,0.98,15335,0.68,0.4,0.64,2.42,84.2,209.07,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,10806.78,117.3,414.07,89.49,154.66,0.98,11049.31,0.79,0.58,0.76,1.73,87.45,155.77,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,9260.68,108.59,462.96,58.71,206.96,0.95,9726.58,0.54,0.28,0.52,3.52,57.01,189.36,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,7.1,1795,14412.76,135.47,499.17,90.11,205.91,0.99,14586.68,0.73,0.43,0.66,2.29,84.63,204.64,292,128,I,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,6072.73,87.93,431.85,38.35,209.5,0.94,6468.43,0.41,0.18,0.42,5.46,40.19,190.99,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,11630.09,121.69,422.28,91.78,162.97,0.99,11768.91,0.82,0.56,0.75,1.78,87.16,159,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,8.1,1795,10733.39,116.9,392.74,102.21,134.46,0.99,10880.18,0.87,0.76,0.87,1.32,108.97,145.81,119,89,I,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,16337.02,144.23,526.58,99.88,211.13,0.98,16614.65,0.74,0.47,0.68,2.11,95.25,210.44,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,12652.85,126.93,485.06,81.5,200.7,0.97,12983.14,0.68,0.4,0.63,2.46,78.64,197.19,,,,0.168,66.718,160.9,1,0,0
