sample_id,analytical_spot,area,equivalent_diameter,perimeter,minor_axis_length,major_axis_length,solidity,convex_area,form_factor,roundness,compactness,aspect_ratio,minimum_Feret,maximum_Feret,U238_ppm,Th232_ppm,oscillatory_zonation,sector_zonation,homogenous_zonation,group,measured_silica,predicted_silica
407,9,16914.04,146.75,528.98,105.97,204.49,0.99,17155.41,0.76,0.52,0.72,1.93,106.68,205.84,298,108.3,1,0,0,I,65,66.5
407,16,17422.97,148.94,564.38,95.42,233.84,0.98,17701.98,0.69,0.41,0.64,2.45,92.55,232.65,271,93.3,1,1,0,I,65,53.69
407,18,13952.94,133.29,517.42,86.08,206.93,0.98,14230.31,0.65,0.41,0.64,2.4,85.81,211.69,373.6,173.4,1,0,0,I,65,66.79
407,19,19966.78,159.44,630.07,99.11,257.3,0.98,20359.52,0.63,0.38,0.62,2.6,98.73,260.12,440,354,1,0,0,I,65,66.78
407,20,20192.61,160.34,576.95,117.17,220.73,0.99,20494.53,0.76,0.53,0.73,1.88,113.07,219.8,336,145,1,0,0,I,65,66.5
407,21,19412.85,157.22,564.76,117.85,210.44,0.98,19736.86,0.76,0.56,0.75,1.79,117.75,209.48,277,117.7,1,0,0,I,65,66.35
407,22,20082.97,159.91,656.86,91.22,285.82,0.97,20799.72,0.58,0.31,0.56,3.13,88.26,267.71,238,106,1,0,0,I,65,65.2
407,23,22879.61,170.68,650.74,114.65,255.4,0.98,23262.53,0.68,0.45,0.67,2.23,111.52,259.55,258,121,1,0,0,I,65,66.21
530,3,27501.89,187.13,791.89,102.73,348.29,0.98,28151.89,0.55,0.29,0.54,3.39,96.08,327.08,440,67.9,1,0,1,I,54.5,61.37
530,4,13629.43,131.73,577.77,69.97,252.61,0.96,14131.14,0.51,0.27,0.52,3.61,67.42,236.91,372,353,1,0,1,I,54.5,58.21
530,5,9531.7,110.16,450.75,67.8,181.07,0.96,9931.26,0.59,0.37,0.61,2.67,69.56,183.17,358,264,1,1,1,I,54.5,48.71
530,6,9282.91,108.72,462.27,64,190.54,0.96,9673.4,0.55,0.33,0.57,2.98,64.06,179.82,318,201,1,0,1,I,54.5,50.53
530,7,17084.57,147.49,593.72,88.28,249.18,0.98,17501.43,0.61,0.35,0.59,2.82,86.42,243.77,186,183,1,0,1,I,54.5,59.69
530,10,25067.47,178.65,788.51,94.05,343.6,0.98,25610.37,0.51,0.27,0.52,3.65,89.53,324.31,97,64,0,0,1,I,54.5,56.45
530,12,10147.1,113.66,512.3,56.87,234.64,0.95,10626.57,0.49,0.23,0.48,4.13,56.27,220.78,359,335,1,0,1,I,54.5,55.28
530,15,21151.81,164.11,671.84,100.11,274.67,0.97,21731.79,0.59,0.36,0.6,2.74,93.94,256.38,418,463,1,0,0,I,54.5,66.04
530,16,23768.29,173.96,743.17,96,320.59,0.97,24581.41,0.54,0.29,0.54,3.34,93.65,305.77,394,472,1,0,0,I,54.5,65.1
530,18,11774.17,122.44,500.01,77.44,197.19,0.97,12192.67,0.59,0.39,0.62,2.55,75.6,196.34,322.1,278,1,0,1,I,54.5,53.13
