source,GSWA_sample_id,analytical_spot,grain_centroid_y,area,equivalent_diameter,perimeter,minor_axis_length,major_axis_length,solidity,convex_area,form_factor,roundness,compactness,aspect_ratio,minimum_Feret,maximum_Feret,groupno,U238_ppm,Th232_ppm,oscillatory_zonation,sector_zonation,homogenous_zonation,SiO2_pct,bin
GSWA (2019) - Interpretation A,184147,1.1,363.07,46101.36,242.28,896.69,187.07,319.73,0.97,47512.99,0.72,0.57,0.76,1.71,180.93,320.77,I,82,264,1,1,0,64.206,65
GSWA (2019) - Interpretation A,184147,2.1,592.16,25966.08,181.83,631.16,152.66,218.7,0.98,26511.13,0.82,0.69,0.83,1.43,168.32,231.38,I,103,221,1,0,0,64.206,65
GSWA (2019) - Interpretation A,184147,3.1,303.24,29926.48,195.2,702.4,173.97,223.57,0.97,31008.72,0.76,0.76,0.87,1.29,175.85,230.72,D,51,131,0,1,0,64.206,65
GSWA (2019) - Interpretation A,184147,4.1,276.66,53183.02,260.22,1038.55,213.13,332.95,0.92,57676.7,0.62,0.61,0.78,1.56,211.22,345.37,D,161,292,1,0,0,64.206,65
GSWA (2019) - Interpretation A,184147,5.1,334.41,31565.53,200.48,688.73,169.09,239.06,0.98,32200.76,0.84,0.7,0.84,1.41,166.34,246.76,D,86,189,1,0,0,64.206,65
GSWA (2019) - Interpretation A,184147,6.1,415.1,29142.24,192.63,725.89,147.43,264.48,0.96,30448,0.7,0.53,0.73,1.79,155.97,283.06,X,100,247,1,0,0,64.206,65
GSWA (2019) - Interpretation A,184147,7.1,355.14,19468.68,157.44,539.99,139.62,179.76,0.98,19962.75,0.84,0.77,0.88,1.29,139.64,181.76,X,73,210,1,0,0,64.206,65
GSWA (2019) - Interpretation A,184147,8.1,160.17,40435.25,226.9,798.62,209.23,249.22,0.96,42074.31,0.8,0.83,0.91,1.19,230.9,266.65,I,80,214,1,1,0,64.206,65
GSWA (2019) - Interpretation A,184147,9.1,197.17,29138.32,192.61,689.01,149.33,251.85,0.97,29914.71,0.77,0.58,0.76,1.69,151.13,259.89,X,106,195,1,0,0,64.206,65
GSWA (2019) - Interpretation A,184147,10.1,60.14,22695.81,169.99,790.72,82.71,357.39,0.96,23605.53,0.46,0.23,0.48,4.32,80.63,342.67,D,111,246,1,1,0,64.206,65
