,GSWA_sample_id,area,equivalent_diameter,perimeter,minor_axis_length,major_axis_length,solidity,convex_area,form_factor,roundness,compactness,aspect_ratio,minimum_Feret,maximum_Feret,U238_ppm,Th232_ppm,SiO2_pct,oscillatory_zonation,sector_zonation,homogenous_zonation,bin
0,88405,14507.22,135.91,503.61,110.29,173.74,0.95,15200.34,0.72,0.61,0.78,1.58,102.14,185.66,115.0,44.0,61.596,1,0,1,65.0
1,88405,28715.15,191.21,706.36,137.1,272.74,0.98,29355.66,0.72,0.49,0.7,1.99,126.41,269.49,173.0,77.0,61.596,1,0,1,65.0
2,88405,45179.33,239.84,856.16,197.55,299.88,0.96,46878.12,0.77,0.64,0.8,1.52,184.06,295.51,232.0,129.0,61.596,1,0,1,65.0
3,88405,28834.96,191.61,735.06,120.18,309.27,0.98,29357.19,0.67,0.38,0.62,2.57,115.75,310.26,132.0,93.0,61.596,1,0,1,65.0
4,88405,35703.86,213.21,891.19,115.31,405.86,0.98,36312.11,0.56,0.28,0.53,3.52,106.01,373.55,231.0,126.0,61.596,1,0,1,65.0
5,88405,34243.11,208.81,838.07,131.87,342.09,0.97,35345.3,0.61,0.37,0.61,2.59,120.42,327.32,340.0,193.0,61.596,1,0,1,65.0
6,88405,38697.97,221.97,812.73,201.34,257.13,0.96,40201.38,0.74,0.75,0.86,1.28,199.62,280.99,153.0,73.0,61.596,1,0,1,65.0
7,88405,25240.08,179.27,618.99,154.05,213.67,0.98,25649.08,0.83,0.7,0.84,1.39,169.24,223.24,194.0,125.0,61.596,1,0,1,65.0
8,88405,18699.12,154.3,615.27,93.24,262.59,0.96,19458.03,0.62,0.35,0.59,2.82,88.01,245.83,131.0,51.0,61.596,1,0,1,65.0
9,88405,28043.93,188.96,775.57,106.75,339.35,0.98,28689.04,0.59,0.31,0.56,3.18,103.79,336.97,188.0,108.0,61.596,1,0,1,65.0
10,88405,12722.25,127.27,477.36,89.09,184.35,0.97,13117.87,0.7,0.48,0.69,2.07,84.87,187.31,159.0,145.0,61.596,1,0,1,65.0
11,88405,15729.92,141.52,564.17,96.64,223.1,0.9,17416.77,0.62,0.4,0.63,2.31,98.59,204.14,157.0,72.0,61.596,1,0,1,65.0
12,88405,42666.46,233.08,884.03,168.67,331.76,0.96,44372.94,0.69,0.49,0.7,1.97,163.16,321.03,166.0,89.0,61.596,1,0,1,65.0
13,88405,42666.46,233.08,884.03,168.67,331.76,0.96,44372.94,0.69,0.49,0.7,1.97,163.16,321.03,205.0,102.0,61.596,1,0,1,65.0
14,88405,34021.96,208.13,812.45,139.48,322.34,0.97,34895.94,0.65,0.42,0.65,2.31,137.81,328.14,237.0,160.0,61.596,1,0,1,65.0
15,88405,39993.86,225.66,849.15,172.89,305.23,0.96,41660.39,0.7,0.55,0.74,1.77,157.21,305.7,300.0,152.0,61.596,1,0,1,65.0
16,88405,39993.86,225.66,849.15,172.89,305.23,0.96,41660.39,0.7,0.55,0.74,1.77,157.21,305.7,434.0,234.0,61.596,1,0,1,65.0
17,88405,16988.45,147.07,572.67,102.13,220.23,0.95,17944.87,0.65,0.45,0.67,2.16,97.16,224.33,182.0,88.0,61.596,1,0,1,65.0
18,88405,22302.87,168.51,611.04,128.2,225.75,0.97,22997.55,0.75,0.56,0.75,1.76,123.05,226.2,199.0,112.0,61.596,1,0,1,65.0
19,88405,23498.31,172.97,682.5,107.28,285.75,0.97,24232.34,0.63,0.37,0.61,2.66,102.23,274.13,193.0,90.0,61.596,1,0,1,65.0
20,88405,20088.0,159.93,585.05,109.08,236.88,0.98,20426.0,0.74,0.46,0.68,2.17,105.52,234.31,143.0,89.0,61.596,1,0,1,65.0
21,88405,21151.82,164.11,631.13,106.26,259.51,0.96,21975.78,0.67,0.4,0.63,2.44,102.34,254.31,283.0,152.0,61.596,1,0,1,65.0
22,88405,21142.48,164.07,616.85,108.83,250.47,0.97,21760.83,0.7,0.43,0.66,2.3,106.1,243.54,259.0,128.0,61.596,1,0,1,65.0
23,88405,18921.38,155.21,564.14,117.78,211.11,0.98,19340.37,0.75,0.54,0.74,1.79,108.58,202.57,202.0,110.0,61.596,1,0,1,65.0
24,88405,10114.87,113.48,463.77,78.56,174.64,0.89,11418.56,0.59,0.42,0.65,2.22,82.37,173.85,234.0,137.0,61.596,1,0,1,65.0
25,88405,17597.45,149.69,601.51,86.63,262.42,0.97,18142.6,0.61,0.33,0.57,3.03,85.57,247.48,191.0,112.0,61.596,1,0,1,65.0
26,88405,6513.77,91.07,327.26,74.08,114.93,0.97,6738.06,0.76,0.63,0.79,1.55,70.04,119.22,132.0,81.0,61.596,1,0,1,65.0
27,88405,17993.07,151.36,572.41,120.93,199.17,0.95,19024.18,0.69,0.58,0.76,1.65,110.31,210.43,256.0,136.0,61.596,1,0,1,65.0
28,88405,26633.49,184.15,691.28,123.75,279.33,0.97,27417.29,0.7,0.43,0.66,2.26,116.78,271.26,224.0,75.0,61.596,1,0,1,65.0
29,88405,21658.57,166.06,625.32,115.39,247.88,0.98,22157.77,0.7,0.45,0.67,2.15,106.14,235.46,211.0,116.0,61.596,1,0,1,65.0
30,88405,16455.04,144.75,527.85,103.33,207.7,0.98,16876.48,0.74,0.49,0.7,2.01,96.54,202.76,205.0,74.0,61.596,1,0,1,65.0
31,88405,22823.37,170.47,635.23,114.43,260.93,0.98,23366.12,0.71,0.43,0.65,2.28,106.78,242.6,320.0,185.0,61.596,1,0,1,65.0
32,88405,13450.49,130.87,516.24,103.88,175.52,0.93,14448.89,0.63,0.56,0.75,1.69,93.34,178.36,146.0,75.0,61.596,1,0,1,65.0
33,88405,17607.4,149.73,561.53,97.28,234.56,0.98,17909.1,0.7,0.41,0.64,2.41,91.48,221.86,378.0,187.0,61.596,1,0,1,65.0
34,88405,29274.13,193.06,707.63,137.2,275.27,0.97,30071.93,0.73,0.49,0.7,2.01,130.82,268.03,251.0,145.0,61.596,1,0,1,65.0
35,88405,24790.64,177.66,686.19,118.2,276.04,0.97,25527.78,0.66,0.41,0.64,2.34,110.65,266.58,234.0,135.0,61.596,1,0,1,65.0
36,88411,19033.53,155.67,561.34,111.47,220.29,0.98,19327.11,0.76,0.5,0.71,1.98,105.3,219.73,132.0,103.0,66.718,1,0,0,70.0
37,88411,14412.76,135.47,499.17,90.11,205.91,0.99,14586.68,0.73,0.43,0.66,2.29,84.63,204.64,292.0,128.0,66.718,1,0,0,70.0
38,88411,10733.39,116.9,392.74,102.21,134.46,0.99,10880.18,0.87,0.76,0.87,1.32,108.97,145.81,119.0,89.0,66.718,1,0,0,70.0
39,88411,9413.85,109.48,428.26,69.19,178.55,0.96,9822.32,0.65,0.38,0.61,2.58,71.64,174.67,248.0,194.0,66.718,1,0,0,70.0
40,88411,11117.92,118.98,414.38,116.09,123.65,0.96,11577.44,0.81,0.93,0.96,1.07,115.45,133.04,218.0,161.0,66.718,1,0,0,70.0
41,88411,8864.98,106.24,391.36,72.23,159.02,0.98,9088.35,0.73,0.45,0.67,2.2,68.46,156.23,150.0,94.0,66.718,1,0,0,70.0
42,88411,13246.4,129.87,475.82,88.23,194.14,0.98,13503.29,0.74,0.45,0.67,2.2,83.37,189.81,377.0,197.0,66.718,1,0,0,70.0
43,88411,15769.0,141.7,523.57,97.05,209.98,0.98,16029.07,0.72,0.46,0.67,2.16,93.47,210.99,206.0,137.0,66.718,1,0,0,70.0
